,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,Y
32,120000,1835,1651,390,390,282,-108,0,0,390,282,0,3087,1
33,20000,15507,14974,14449,15116,14582,14206,0,0,1200,0,0,2230,1
34,180000,1560,316,316,316,316,316,0,316,316,316,316,316,1
35,80000,5994,32223,8308,4082,538,4085,13647,8314,4082,0,4085,0,0
36,200000,470,740,3774,836,1325,1440,740,3782,836,1325,1440,506,0
37,220000,17325,16758,18474,20667,20195,21854,0,2000,2500,0,2000,0,0
38,450000,9845,11991,17111,19585,9756,3282,3000,10000,3000,10000,3300,326,0
39,360000,5619,14822,43000,4650,12132,13953,15008,43065,4650,12132,13953,2200,0
40,150000,40548,41597,42405,43498,44596,45700,2000,1800,1800,1800,2000,1800,0
41,70000,62737,40745,1880,0,0,0,4030,2500,0,0,0,0,0
42,160000,38695,40757,42769,44448,46269,48036,3000,2700,2700,2700,2700,2700,0
43,50000,14811,16262,17286,17895,19450,18990,2000,1600,1200,2000,0,1000,0
44,50000,43165,49091,50453,49037,28589,29392,6987,2433,0,1145,3167,0,1
45,20000,17095,19112,17980,18780,0,0,3000,0,1000,1000,0,0,0
46,340000,351828,280067,259651,243094,223907,216912,30076,25118,20085,10041,8184,6626,0
47,100000,914,1170,0,0,1756,0,1475,0,0,1756,0,0,0
48,230000,0,0,3000,1800,29387,22980,0,3000,1800,29387,1200,2525,0
49,200000,1662,2482,19272,22388,21105,3471,2482,19272,10004,10000,3471,13754,0
50,120000,6305,7052,8786,8863,10763,7140,1000,2000,177,2000,1000,0,1
51,30000,27947,27035,27876,26640,25896,25481,2000,1800,1500,1500,1500,1500,0
52,140000,23702,23917,24460,435,435,435,1457,1000,435,435,435,435,0
53,400000,24478,10841,53336,25017,16039,38994,10846,53383,16044,0,39727,0,0
54,240000,4684,18412,16580,416,416,416,18432,1416,16580,416,416,416,1
55,120000,67094,69010,70683,71504,73230,73613,3000,3000,2300,2600,2500,1500,0
56,100000,97062,74352,75004,76705,78168,80347,2800,2700,5400,3500,3500,3200,0
57,220000,780,390,0,780,0,780,390,0,780,0,780,390,1
58,50000,13301,1400,780,390,42958,44849,1400,780,390,42958,3500,0,0
59,180000,3999,2183,5828,0,2165,645,2183,5828,0,2165,645,4390,0
60,110000,4382,1972,1426,5660,5660,0,5,1426,5660,0,0,0,0
61,180000,316,316,316,316,316,316,316,316,316,316,316,466,1
62,420000,2804,2615,3392,4392,-796,-796,0,1000,1000,0,0,20500,0
63,60000,41259,40715,43153,43845,44795,45710,400,3406,1700,1800,1800,0,0
64,200000,21111,25562,8603,28692,29019,43308,5000,5000,20089,30000,15093,15051,0
65,260000,-48,4001,5975,0,0,0,4261,6000,0,0,0,0,0
66,90000,86014,92898,92860,88533,90942,88813,8300,2400,1000,4000,3600,4000,0
67,180000,41402,41742,42758,43510,44420,45319,1300,2010,1762,1762,1790,1622,0
68,110000,111576,102942,99241,73151,64731,66025,4100,3680,2511,2350,2370,2610,0
69,50000,20636,17792,17422,17273,18827,16996,1604,1702,1500,2004,16,607,1
70,120000,0,0,0,0,0,0,0,0,0,0,0,0,0
71,400000,6233,11152,-1,376,0,0,11219,0,377,0,0,1759,0
72,50000,48135,15317,12579,29035,17878,18586,1314,1506,19300,1000,1000,700,1
73,70000,68839,64027,61580,29435,26341,26949,3213,1659,2000,1107,1200,1100,0
74,260000,115937,118957,119649,122448,-3353,123939,5800,6000,8000,40000,127292,6000,0
75,260000,2497,2497,2497,2497,2497,2497,0,0,0,0,0,0,1
76,370000,206161,203907,178625,164483,157497,141493,10000,7014,6000,6000,6000,4000,0
77,30000,30739,29586,29412,18587,1558,4681,0,1331,49,5,5363,8,1
78,200000,4890,3630,4882,10955,10435,1665,3630,4882,11034,10435,1665,3765,0
79,150000,151686,147474,7474,8173,87500,89731,3000,120000,823,80000,3684,4500,1
80,80000,78294,79247,74954,79356,48981,46848,3500,5608,8000,1205,1500,2000,1
81,50000,37208,38204,39243,40255,41057,41914,1615,1654,1666,1468,1517,1528,1
82,180000,149218,217602,96169,70083,59509,78312,10915,5,5050,10000,20000,2000,0
83,60000,58264,57923,58987,17350,17937,17298,3200,3000,800,1000,1000,1000,0
84,70000,68739,67629,69188,68392,69884,71284,3060,3300,2610,2750,2750,5500,0
85,80000,1262,1642,1975,672,5112,3932,1642,1975,672,5112,3932,20289,0
86,70000,68687,69531,71271,70712,50793,50605,2545,2918,6329,1996,1977,1975,0
87,100000,72437,74645,76063,77224,75385,78991,4000,3200,3000,0,5000,3200,1
88,20000,626,626,1252,626,626,776,626,1252,0,626,776,626,1
89,210000,8666,8666,17307,8666,8666,17303,8666,17307,173,8666,17303,173,0
90,10000,885,1475,780,390,780,390,1475,780,0,31250,0,0,0
91,100000,36838,37785,32905,29866,30503,28518,1607,1385,971,1018,984,810,0
92,50000,6618,7641,8651,8824,9008,9187,1133,1143,316,326,328,339,0
93,160000,960,3597,3633,2707,6087,4852,3597,3633,2702,6087,4852,9425,1
94,60000,0,0,0,0,0,0,0,0,0,0,0,0,1
95,50000,12664,42985,15085,17245,17316,17297,2000,2000,17000,1000,1000,2955,0
96,260000,0,0,0,0,0,0,0,0,0,0,0,0,1
97,80000,51193,50954,55132,56629,57405,58742,1200,5000,3000,2300,2400,0,1
98,30000,25689,26455,27525,28545,29388,30133,1500,1500,1500,1300,1200,1500,1
99,160000,138825,135233,130038,79027,6666,6666,6800,5600,3715,6666,6666,6666,1
100,80000,78861,77719,45961,29537,29758,30153,2435,1463,1039,1068,1267,1000,0
101,200000,11916,23694,26397,12674,14068,6468,12366,11000,12674,14445,6867,399,1
102,260000,110529,113505,114531,111037,95454,96370,7010,7004,15,3000,3000,3000,1
103,100000,23070,18806,20183,21540,25775,0,1700,2000,2000,5000,0,0,0
104,30000,27201,27873,25406,23339,17869,15284,4000,0,2000,2000,1500,1000,1
105,170000,17862,17927,18800,17647,18015,12930,1323,1196,544,563,629,361,0
106,80000,57076,58358,58992,62696,64148,62965,2800,2200,4700,2600,0,4400,0
107,130000,4536,5616,6455,6791,6991,0,1161,1000,336,200,0,0,0
108,50000,41500,39938,41688,45625,45907,44662,0,2700,4960,1700,0,3000,1
109,140000,389,403,0,0,0,0,407,0,0,0,0,1260,1
110,150000,99855,102586,100064,104975,107147,109428,5200,0,8100,4000,4200,4200,0
111,200000,6666,6666,6666,6666,11862,12501,6666,6666,6666,11862,7501,1000,0
112,140000,0,0,0,0,825,675,0,0,0,825,0,23715,0
113,70000,62775,64139,65516,65945,66267,68549,3000,3000,2100,2000,3500,800,1
114,280000,213738,228963,223810,158542,162244,108143,20300,0,5600,6300,4000,4000,0
115,50000,-9802,99,103,249,386,11504,10000,103,245,386,11504,2000,0
116,360000,16230,-200,0,0,69000,2500,0,200,0,69000,2500,0,0
117,30000,0,0,0,0,0,4443,0,0,0,0,4443,890,0
118,500000,419487,389605,309466,246519,247263,251389,13000,20000,15000,9322,10000,10000,0
119,210000,326,983,1297,326,326,326,983,1297,326,326,326,326,1
120,160000,1494,696,1395,898,894,2198,2,1399,903,896,2204,786,1
121,20000,13139,13915,18667,18072,18120,19329,1300,5000,0,640,1497,0,1
122,360000,270248,138566,142337,149758,147152,149460,5000,5000,8600,0,5000,5000,0
123,20000,19667,19974,5491,831,20088,19733,1500,1000,831,20500,1000,1100,1
124,230000,0,0,0,0,625,514,0,0,0,625,514,3,0
125,20000,18770,18410,18821,19307,19260,20028,1400,1200,1000,6000,1000,5000,0
126,180000,35916,30711,27555,26574,23123,30680,1711,1300,7504,1123,13000,0,0
127,240000,234312,231407,233781,220150,190170,194018,9454,10128,8012,6500,7000,7000,1
128,230000,5650,3798,6701,10382,4842,5792,3798,3000,5000,4842,3000,3000,1
129,120000,0,-416,-1248,832,416,1398,0,0,2080,0,1398,0,1
130,80000,600,600,600,600,600,300,0,0,0,0,0,0,1
131,90000,86519,88925,56116,48430,49585,50443,4100,2500,52285,2000,2100,5000,0
132,200000,-200,-200,-200,0,60800,0,0,0,200,60800,0,0,0
133,110000,44590,45846,47104,48325,0,49461,2000,2000,2000,2000,0,2000,1
134,140000,50643,51916,52903,53652,52201,55497,2400,2400,2200,0,4300,2200,1
135,60000,34992,36106,37220,38253,39369,36592,2000,2000,2000,2000,1400,1400,1
136,260000,1943,855,7288,1055,710,755,855,7288,1055,710,755,955,0
137,110000,32691,36344,36055,36163,37028,38250,4500,600,1000,1600,2000,2000,0
138,410000,3827,9921,28961,2954,9942,2628,10534,29750,3483,10470,2636,122005,0
139,140000,68859,70428,71902,72924,72335,75508,3300,3200,2800,1200,4500,3000,1
140,100000,55734,52557,33415,28776,17580,6441,1631,1286,200,645,909,200,0
141,30000,22463,25362,24672,25317,26516,26133,3278,0,1233,1432,0,566,1
142,30000,27126,29970,29192,31103,31771,30404,3600,0,2700,1300,0,1300,0
143,180000,113331,113436,109439,111108,108476,104655,5500,1308,7623,3900,11,7700,1
144,440000,209176,215231,204369,186201,183518,148169,11000,54,7530,7648,6310,3312,1
145,20000,54,54,54,54,54,54,0,0,0,0,0,2966,1
146,360000,0,0,0,0,0,0,0,0,0,0,0,0,1
147,200000,798,4130,6952,827,1426,763,4150,6952,827,1426,763,870,0
148,130000,99290,96811,99330,94501,91503,91064,0,5000,3358,3500,6000,3500,1
149,490000,108157,107692,108590,109389,110491,111158,4056,3993,3831,4111,3939,4001,0
150,60000,24496,20329,15219,16158,14295,10930,20391,1200,3658,0,10930,11677,0
151,270000,56376,56911,56758,26872,23660,12053,2680,1420,15,42,2476,0,0
152,50000,16029,17039,18064,19076,19453,19862,1281,1306,1318,695,721,1018,1
153,180000,5892,4824,3784,3089,2715,1821,0,3089,0,1521,0,347,1
154,100000,7798,864,3302,2430,805,3415,864,2438,821,1,3110,2206,1
155,400000,161226,139481,17939,10315,22728,11493,5000,17939,12845,22728,11493,10703,0
156,400000,337135,373869,366338,374255,409777,527566,44000,0,14000,42000,126000,18000,0
157,90000,1722,0,0,0,0,0,0,0,0,0,0,11135,0
158,50000,8537,9591,10581,10818,11050,10880,1200,1163,400,790,400,380,0
159,140000,390,0,0,0,0,0,0,0,0,0,0,2943,0
160,10000,9323,8708,0,9601,10005,9058,1000,0,9601,800,1000,1000,0
161,140000,0,0,0,0,0,0,0,0,0,0,0,0,1
162,20000,8145,10474,10000,0,0,0,2474,0,0,0,0,0,1
163,150000,45335,50262,54793,59244,64096,68837,6000,6000,6000,6000,6001,6000,0
164,20000,7678,10475,-10,190,6160,402,3347,0,200,7018,6073,15000,0
165,30000,14254,16598,15908,16029,6501,0,2890,0,321,6501,0,0,1
166,310000,4762,26943,7488,10276,96059,6434,26943,5000,6000,93000,3000,5000,1
167,210000,0,0,0,0,0,0,0,0,0,0,0,0,1
168,340000,342617,346067,350031,304706,250216,253526,12604,14000,11000,9000,10000,30000,1
169,480000,57732,55379,71063,60155,66078,64958,55614,47003,30171,40282,115224,12973,0
170,90000,0,0,0,0,0,0,0,0,0,0,0,0,1
171,210000,203447,206683,99411,63322,73433,75381,6549,4500,2407,12700,3200,4000,0
172,300000,0,0,0,0,0,0,0,0,0,0,0,520,1
173,120000,1686,657,2179,1423,0,1820,657,2319,1423,0,1820,2496,0
174,140000,81960,81757,83046,84034,77659,77180,3005,3000,3000,3000,3000,5000,0
175,30000,9819,10873,9646,9995,10371,5139,1230,1100,419,600,500,500,0
176,80000,27897,24833,23331,21964,19664,2544,0,1527,1500,540,2544,2789,1
177,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
178,50000,19649,20526,19909,22096,22438,21941,1500,0,2531,1000,0,2000,1
179,70000,10149,11454,9638,8761,8572,9274,2000,2000,0,1000,1000,4000,0
180,50000,9014,9608,12025,16025,0,0,3000,3000,4000,0,0,0,0
181,120000,416,416,416,416,0,832,416,416,416,0,832,416,1
182,100000,103728,104908,65800,18300,33336,31558,3184,3000,18300,33336,984,63000,1
183,360000,6402,13301,3762,7483,6399,9145,13389,3785,7527,6418,9187,15762,1
184,30000,22167,22474,18180,15900,0,0,1000,150,0,0,0,0,0
185,60000,21962,23592,25702,26961,28509,29546,2000,2500,2000,2000,1500,2000,1
186,40000,38344,37433,38862,39125,39408,40925,0,2335,1200,1225,2300,1396,1
187,50000,32822,20669,4510,2893,2000,2800,1150,1000,300,400,800,0,0
188,20000,23538,22780,23623,19600,20100,0,3000,1400,2500,500,0,0,0
189,130000,133825,134495,133745,130814,130758,123468,7500,10000,0,4500,4500,4179,0
190,350000,301553,287780,295141,291422,279294,276594,0,21300,10000,0,9500,9500,1
191,610000,145143,136334,103624,101044,106356,92459,5002,5000,4006,10000,7000,5000,0
192,80000,76292,77465,78834,12577,18376,23766,3006,5250,33,18431,23944,28457,0
193,100000,0,0,0,0,0,4747,0,0,0,0,4747,1198,1
194,480000,398380,394515,393648,330221,296004,279768,20091,25370,15203,12013,12013,10135,0
195,30000,28084,29299,28741,30467,29858,28898,1950,200,2492,0,580,0,1
196,80000,260,130,130,130,130,130,0,130,130,130,130,130,1
197,30000,7244,8265,9436,10123,10335,10691,1142,1313,1000,375,528,600,0
198,530000,12451,24095,15688,24511,12144,34963,24120,15791,12808,8090,34110,90231,0
199,330000,4122,0,0,0,0,0,0,0,0,0,0,0,0
200,210000,18430,19809,21482,23118,23437,24900,2000,2000,2000,1000,2000,2000,1
201,20000,17974,32768,16057,14189,13265,12214,2000,1506,1000,800,1000,1000,0
202,50000,650,3415,3416,2040,30430,257,3415,3421,2044,30430,257,0,0
203,200000,64195,65565,66870,68752,70485,71887,3000,3000,3000,3000,2575,3000,0
204,190000,157,-1049,-2681,1975,2244,3294,0,0,6475,2244,2284,0,0
205,60000,33044,32232,25086,24404,25212,28147,0,4000,0,1500,3500,2600,1
206,360000,3019,2438,1008,1250,0,860,2444,1008,1250,0,860,0,0
207,230000,0,0,0,0,0,0,0,0,0,0,0,0,0
208,500000,613860,512526,334227,145482,125936,91382,37300,11000,4500,4000,4000,100000,1
209,100000,976,5476,10303,11007,11254,5934,4500,5000,1000,5200,1052,4000,1
210,290000,7064,1875,1814,8537,25576,13475,0,1814,8537,25576,13475,6000,0
211,230000,10906,9692,9162,10466,9426,8099,1364,1393,2003,1000,1000,500,0
212,170000,55396,56493,55594,50417,45347,46247,8000,6000,1709,1645,1653,1725,0
213,140000,75384,74177,65336,53578,49288,43870,4000,4000,3500,2000,2500,1800,1
214,230000,63064,62725,61465,57637,58172,57560,2800,2158,2610,2022,2064,2038,1
215,210000,103310,111472,79503,75528,72567,69502,107651,2861,2388,3000,3000,2500,0
216,30000,28871,28430,29051,29265,28267,28925,1802,1802,1358,1100,1151,1568,0
217,30000,9634,4476,8830,8153,6422,500,7,7002,13,155,1,0,0
218,40000,33370,34413,37644,38026,36519,36724,1600,3800,1300,0,1400,1400,1
219,30000,20996,25607,26813,25868,25418,27572,5000,2000,1089,3000,5000,0,1
220,500000,87161,89009,92651,93725,95517,97581,3248,5140,3510,3461,3646,3770,0
221,200000,97821,97934,44716,42073,42867,33876,4220,2029,2073,2867,3876,2295,0
222,220000,243517,228368,224414,196229,190050,183779,0,10000,7200,7001,6900,6400,0
223,20000,-113,-113,10887,10413,-245,-245,1575,11000,0,0,0,5100,1
224,250000,260260,262132,240448,186817,185488,184091,13000,0,6672,7000,7000,9000,0
225,320000,320635,313060,293055,269585,248093,239025,12500,22,11155,9100,8700,9183,1
226,170000,5635,6321,102108,2120,2873,0,6321,102108,2120,2873,0,870,0
227,10000,2724,5520,5275,0,0,150,3000,0,0,0,150,275,0
228,150000,0,0,0,0,0,0,0,0,0,0,0,0,0
229,70000,71237,76632,74853,78789,77084,80572,6577,0,5816,0,5364,0,1
230,60000,56045,59524,58563,56831,53628,34490,5000,2000,1000,3000,8000,0,0
231,200000,185272,189657,103861,75480,70042,72157,10000,10000,6000,0,5000,3000,0
232,490000,0,0,244033,224216,212123,214715,0,244033,15011,9003,9019,8000,0
233,30000,24285,26143,26929,19610,20591,19472,3002,2130,2,3004,8013,0,0
234,20000,15749,16221,19836,14354,10962,9274,1500,5000,500,500,246,500,0
235,360000,640,2113,-6,999,944,-3,2231,0,1005,948,0,789,0
236,50000,48556,49240,48647,36411,32087,22909,1804,2045,1314,1268,0,2436,1
237,30000,26627,27631,29179,30146,26371,27567,1452,2000,1500,933,2000,3000,1
238,10000,9001,8322,8630,8630,7850,8150,0,1400,0,0,1600,0,1
239,130000,107599,109902,112635,114472,117556,116090,4030,4600,4200,5000,5000,21932,0
240,160000,163418,164211,165587,161950,161680,164031,6200,7600,6100,5900,6300,7500,0
241,60000,2084,145,145,145,145,1195,0,0,0,0,1200,0,1
242,290000,194301,199451,198684,87700,88621,53243,10744,6000,1573,1629,3129,105423,0
243,520000,60912,56728,55758,57911,54152,43108,7000,5000,5004,5000,5000,5031,0
244,30000,28637,28711,29138,28852,28487,27788,2002,2002,1503,2006,2005,3000,0
245,50000,47384,48814,49771,19375,71,19661,2194,2151,755,71,19837,792,0
246,160000,78592,80240,39835,41150,0,0,3700,1700,2000,0,0,0,0
247,40000,35285,36714,37356,38184,38724,37255,2000,1600,1401,1607,1800,1751,0
248,90000,6146,6193,0,3199,1888,0,6198,200,3199,0,0,0,0
249,230000,213859,218094,225070,227528,121751,219354,9285,12000,9100,4600,4200,4100,1
250,240000,16135,249258,243589,204754,201426,198736,234000,30,7046,7023,10005,8014,0
251,200000,7184,14845,1097,0,0,160,17507,1102,0,0,160,1103,0
252,70000,20335,21699,22460,20345,42123,19852,2000,1500,3000,721,1200,2000,0
253,260000,16426,6088,4663,3885,4414,2514,6277,4663,4140,4414,2646,7725,0
254,200000,47236,45200,35939,34096,34876,34615,1800,1603,2000,2500,1500,1500,0
255,210000,0,0,0,0,0,0,0,0,0,0,0,0,0
256,150000,2070,7620,0,0,0,0,7620,0,0,0,0,0,0
257,170000,73784,73815,53032,29086,93786,92728,3663,3426,1317,93276,3197,3185,0
258,320000,98697,100572,103621,103720,100136,102167,3891,5240,3616,3770,4264,3345,0
259,50000,45335,46027,30286,26275,26823,27371,1524,1427,941,972,992,1000,0
260,220000,112460,29300,8500,0,8500,8535,8500,8500,0,8500,8535,177000,0
261,260000,-124,-124,-124,1599,360,882,0,0,1723,366,882,0,1
262,50000,26808,44361,32088,20100,15117,18501,30040,2037,592,5003,5012,2023,0
263,150000,152059,150510,152228,141778,142694,145622,7100,5800,5300,5200,5300,5600,0
264,300000,1352,2380,0,970,0,89,2380,0,970,0,89,0,0
265,150000,4029,4048,2842,3910,4697,1719,4054,2866,4082,4697,1735,0,0
266,90000,23662,25970,28531,30072,29323,28709,3000,3000,2300,0,0,4860,1
267,170000,4600,6519,7360,2437,2881,2659,2000,1000,2437,3103,2659,2659,0
268,70000,54297,52837,56581,55084,56071,59008,0,5200,0,2500,4000,0,1
269,150000,113647,117322,119935,124913,128108,131382,5001,4000,6006,5000,5008,0,0
270,220000,215477,216099,210839,216988,213824,39819,5516,0,8275,0,800,223833,0
271,200000,190,0,0,367,-150,-150,0,0,367,150,0,0,0
272,20000,8612,8862,8992,9452,10520,11320,2202,500,1000,2000,800,0,0
273,80000,1927,446,909,1740,2190,518,446,909,1740,2190,518,5062,0
274,200000,0,5932,5674,1484,4680,0,5932,0,0,4680,0,0,0
275,80000,48463,49484,50372,51246,52279,53069,2100,2000,2000,2000,1800,1000,1
276,150000,29169,15000,15000,0,15000,0,1000,15000,0,15000,0,0,0
277,360000,222,1256,-9,1840,0,0,1256,0,1849,0,0,0,1
278,100000,216,964,964,365,0,0,964,0,0,0,0,301,0
279,200000,780,0,390,780,390,390,0,390,780,0,390,390,0
280,210000,114273,115302,111906,111423,92394,93321,6000,6000,5000,3000,3500,3000,1
281,160000,4529,4269,1170,780,780,0,0,0,0,0,0,0,1
282,210000,3402,4774,375,3498,3517,4567,4774,375,3498,3517,4567,2488,0
283,210000,0,981,2148,0,0,0,981,2148,0,0,0,0,0
284,50000,50958,50889,49697,9176,9368,9554,2042,1150,329,340,342,354,0
285,60000,24608,18686,18571,18118,16179,12919,1400,1500,1295,3655,330,507,0
286,190000,90128,92367,94227,91943,93546,95759,4500,4100,0,3500,3600,3500,1
287,20000,13053,4078,0,0,0,0,16,0,0,0,0,0,1
288,200000,0,0,0,0,0,0,0,0,0,0,0,0,1
289,160000,0,0,0,0,0,0,0,0,0,0,0,0,0
290,80000,71104,72737,73987,72199,76621,78451,3400,3000,0,5637,3200,0,1
291,140000,1154,1233,862,1355,1130,21361,1233,1075,1355,1130,21361,1347,0
292,230000,2403,7357,9752,12608,10797,20539,7357,2566,3000,1000,10000,2000,0
293,120000,118131,116607,108720,92649,89533,89204,4211,3710,3184,3200,3200,3133,1
294,20000,19961,16437,16579,17437,18314,19616,1500,2579,1437,1314,1616,800,0
295,360000,-242,-3748,5512,4102,1756,4400,649,10000,0,1756,4400,0,0
296,200000,2896,10706,10323,8440,4963,10222,10720,3014,1027,2022,10017,2030,1
297,210000,3675,4460,5542,15378,18106,18804,1082,1164,10000,3000,1000,1000,0
298,150000,0,0,0,0,0,0,0,0,0,0,0,0,0
299,10000,-20,780,0,780,0,0,800,0,780,0,0,0,1
300,220000,3352,3352,3352,3352,3352,3352,3352,3352,3352,3352,3352,3352,1
301,20000,18271,19857,19090,18500,4860,4080,2967,0,0,0,0,0,0
302,200000,261,6229,5815,851,2029,1997,6229,5815,854,2029,1997,10342,0
303,80000,35169,39069,38166,40642,39689,41043,4500,0,3427,0,2000,3000,1
304,210000,155913,165227,161427,164860,187329,186079,13000,0,5666,24886,6282,6494,0
305,80000,52065,55205,55900,55622,56295,61598,5000,2606,2200,2100,6679,1700,0
306,180000,-18,-18,-18,-18,-18,-18,0,0,0,0,0,0,1
307,200000,176579,180233,184262,178674,181318,179477,6589,7074,7870,7028,6768,5906,1
308,30000,27172,28224,29276,28635,30127,30525,1800,1800,150,2250,1000,0,1
309,100000,0,0,0,0,0,0,0,0,0,0,0,0,0
310,360000,4201,0,0,0,0,0,0,0,0,0,0,0,1
311,20000,16456,17382,16814,18229,20314,19704,1500,0,1700,2700,0,600,1
312,200000,199669,204168,202381,172574,171795,170960,9300,7851,6400,6500,6537,6200,0
313,140000,43030,44335,45351,46317,55506,56609,2000,1755,1721,10000,2028,3000,0
314,100000,11540,1300,0,0,0,0,1303,0,0,0,0,0,0
315,360000,0,0,0,0,0,0,0,0,0,0,0,0,1
316,10000,9013,8714,9121,9926,8898,7667,0,1200,1500,0,1000,3000,1
317,140000,105732,99769,102682,102332,104544,107155,5000,5500,5000,4000,4500,4500,0
318,80000,11894,12287,12407,14360,14657,4129,1284,1047,2000,359,175,1000,0
319,60000,48399,48241,36162,36560,40855,885,1764,1400,5000,5000,885,1721,0
320,500000,2907,-110,-110,-310,82690,84529,9,0,0,83000,3000,4561,0
321,200000,632,632,316,316,316,316,0,0,316,316,316,316,1
322,50000,11367,10982,10243,10826,11699,10146,3000,1000,1000,1000,2000,2000,0
323,400000,2988,3983,3417,3267,186,1200,1222,1000,1200,186,1200,0,0
324,30000,29493,19433,18782,19006,19637,21251,3200,0,742,1000,2000,0,0
325,200000,194241,193425,196537,195268,192829,192499,12000,8500,7000,10000,10000,10000,0
326,240000,8862,3220,0,0,0,0,3220,0,0,0,0,0,0
327,90000,88550,78892,75808,63362,65300,67248,3000,3500,3000,3000,3000,5000,1
328,400000,13611,15066,15882,12599,18599,12284,3019,5014,3,7040,2006,2005,0
329,200000,0,0,0,0,0,0,0,0,0,0,0,0,1
330,90000,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,5000,0
331,140000,89592,92225,93890,91013,91535,93065,5000,4000,0,3000,7893,2660,1
332,180000,139184,141752,122164,111328,113890,116823,6411,6000,5000,4500,5000,4200,0
333,50000,98492,50095,49057,17426,17789,18003,2477,2409,769,792,659,631,0
334,100000,11801,12905,14378,14838,15447,16539,1600,2000,1000,1000,1500,0,0
335,110000,30961,31860,35254,30250,21436,25325,1700,4000,0,1000,5000,3000,0
336,390000,200612,202794,191419,81360,66864,66729,8315,6839,3000,2348,2401,2355,0
337,190000,86730,93705,91317,96079,94428,100618,9310,0,7200,0,8000,4000,0
338,50000,22430,23763,24564,26145,26774,27476,2000,1500,2000,1200,1300,1150,0
339,120000,326,326,326,326,326,326,326,326,326,326,326,326,0
340,10000,15915,9050,9901,9975,9736,8703,2330,2200,1000,333,311,322,0
341,20000,5212,6462,7846,10715,10406,9953,1500,1500,3000,0,0,0,1
342,160000,82535,84300,86091,83839,85552,88028,4000,4000,0,4000,4000,4000,1
343,50000,3914,7419,7156,8492,9515,9287,3591,0,1500,1100,0,300,1
344,310000,40604,42926,44209,45472,46739,47895,3000,2000,2000,2000,2000,1000,0
345,10000,7418,8080,780,780,0,0,1000,780,0,600,0,0,0
346,150000,70001,45813,44309,27428,2013,4724,2500,1200,2618,2013,4724,0,0
347,170000,56364,58132,59171,55888,53672,51461,3000,3000,2000,3000,3000,3000,0
348,180000,129719,133702,133758,80055,69672,33194,6070,3521,5000,5000,5004,5029,0
349,80000,0,1313,880,0,0,0,1313,883,0,0,0,0,0
350,10000,1727,1508,3096,3400,4522,-240,1508,3098,3400,4522,0,1000,0
351,60000,37129,37593,37841,38634,28811,28907,1602,1989,1782,1169,1196,1152,1
